"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проходит полный путь от входа в систему до оформления заказа с проверкой итоговой суммы","76448","Полный сценарий покупки товаров","lesson_10","2026-03-28","broken","2026-03-28","","test_shop","",""
"Проверяет работу калькулятора с установкой задержки и выполнением сложения","53140","Тест калькулятора с задержкой","lesson_10","2026-03-28","passed","2026-03-28","","test_calculator","",""
